ts	phase	decision	why	evidence	result
2026-08-21T00:00:00Z	frame	Preserve the existing dirty worktree and diagnose current follow-sync behavior in place	The relevant files already contain user-owned uncommitted changes	git status --short	open
2026-08-21T20:49:33Z	reproduction	Made the Following-page refresh test require an account sync before local refetches	The refresh action must import follows created on official sites before reading local rows	apps/desktop/tests/pages/Following.test.tsx:513	VERIFIED red, expected one sync call and observed zero
2026-08-21T20:53:00Z	root-cause	Traced the regression to commit 070f7ee removing syncConnectedFollows from Following-page refresh	Git history shows the account sync existed in 48e327b and was deliberately replaced with local query refetches	git show 070f7ee -- apps/desktop/src/pages/Following/index.tsx	VERIFIED
2026-08-21T20:57:00Z	design	Chose sync-before-refetch with concurrent callers joining one in-flight sync	Two independent designs converged and the ordering prevents Kick SQLite reads from racing account reconciliation	apps/desktop/src/store/auth-store.ts:713	approved for implementation
2026-08-21T21:00:00Z	implementation	Made Following refresh await account reconciliation and made concurrent refresh callers share one result	This fixes the missing authoritative read and closes the stale-refetch race	apps/desktop/src/pages/Following/index.tsx:490, apps/desktop/src/store/auth-store.ts:716	VERIFIED by focused tests and typecheck
2026-08-21T21:01:00Z	runtime	Drove the real Electron Following page and completed its refresh action	The real authenticated development profile must keep rendered follows while running the changed click path	artifacts/follow-sync-after-refresh.png	VERIFIED, 649 follows and 53 live channels rendered
2026-08-21T21:05:00Z	verification	Ran the complete desktop test suite after focused checks	The shared auth store and Following page have broad callers, so focused checks alone were insufficient	pnpm --dir apps/desktop test	VERIFIED, 569 files and 6908 tests passed
2026-08-21T21:06:00Z	cleanup	Kept pre-existing user comments flagged by Comment Sicko	They belong to unrelated dirty Kick auth work and one follows the local Guards test convention	git diff against scoped files	no new comments or debug instrumentation
2026-08-21T21:08:00Z	audit	Kept the fix scoped to Following refresh and auth-store coalescing after fresh-eyes review	The reviewer flagged separate pre-existing Kick DOM-scan edits; changing them would overwrite user-owned work without evidence that they caused this shared regression	apps/desktop/src/backend/api/platforms/kick/endpoints/follow-endpoints.ts:145	open follow-up risk, not part of this fix
2026-08-22T22:30:00Z	frame	Defined done as automatic import of a new official-site Kick follow beyond the 105-row baseline	The user will be away and needs real-product proof, while the dirty worktree requires narrow edits	decisions.tsv	IN PROGRESS
2026-08-22T22:31:00Z	reproduction	Confirmed every one-minute Kick sync aborts on the fourth five-item API page	The live log shows three accepted pages followed by a schema rejection and preserved prior rows	.logs/streamfusion-2026-08-22T22-19-16-655Z.log	VERIFIED red, count remains 105
2026-08-22T22:47:00Z	root-cause	Identified session_title null as the valid wire variation that rejected the entire page	A redacted shape probe showed identity and cursor fields remained valid while unused display metadata became null	.logs/streamfusion-2026-08-22T22-46-00-040Z.log	VERIFIED
2026-08-22T22:48:00Z	regression	Added a boundary test for nullable presentation metadata and additive fields	The test drives the exact live parser failure without network or credentials	apps/desktop/tests/backend/api/platforms/kick/follow-endpoints.test.ts:270	VERIFIED red, parse-error before fix
2026-08-22T22:54:00Z	design	Kept safe discoveries from malformed sibling rows and downgraded the result to additive-only	This avoids losing whole pages while existing viewer-bound reconciliation prevents unsafe pruning	.audit/follow-sync-design-candidate-a.md, .audit/follow-sync-design-candidate-b.md	arena reviewed and synthesized
2026-08-22T22:55:00Z	implementation	Narrowed the Kick page parser to identity and cursor facts while tolerating presentation drift	Only channel slug and pagination determine safe follow discovery; uncertain completeness disables pruning	apps/desktop/src/backend/api/platforms/kick/endpoints/follow-endpoints.ts	focused tests, typecheck, and lint green
2026-08-22T22:57:00Z	hardening	Accepted an omitted nextCursor only as the terminal-page marker and matched viewer identity through slug or username	The live API omitted the final cursor and returned username while all prior cursors remained safe integers	apps/desktop/tests/backend/api/platforms/kick/follow-endpoints.test.ts	VERIFIED red then green
2026-08-22T23:04:00Z	runtime	Observed automatic background reconciliation increase the Kick account set beyond the 105 baseline	The live authenticated API sync completed at 115, repeated with zero changes, and the Following page updated without a click	.logs/streamfusion-2026-08-22T23-01-34-684Z.log	VERIFIED, UI Channels(114)
2026-08-22T23:10:00Z	verification	Ran the full desktop quality gate after real-product proof	The parser and reconciliation code share auth, storage, and renderer callers beyond the focused seam	pnpm --dir apps/desktop test; typecheck; lint	VERIFIED, 570 files and 6927 tests passed
2026-08-22T23:15:00Z	audit	Clarified the durable product result as 114 visible Kick channels, with 115 account rows before channel resolution	The backend stream scans alternate input sets, but the saved UI artifact is the consumer-visible count	artifacts/follow-sync-auto-114.png	VERIFIED, up from 105 without manual refresh
2026-08-22T23:16:00Z	hardening	Added focused tests for non-array channels, unsafe cursors, and malformed live-state metadata	Fresh-eyes review found those branches were proven only by inspection	apps/desktop/tests/backend/api/platforms/kick/follow-endpoints.test.ts	VERIFIED, 51 tests plus typecheck and lint green
2026-08-25T02:20:00Z	baseline	Used Diagnostics Resources as the canonical process CPU and resident-memory source	FPS alone cannot reveal retained helper renderers or utility processes	artifacts/performance-baseline-resources.png	10 processes, 2.00 GB, 2.5% CPU
2026-08-25T02:25:00Z	probe	Disposed the existing Kick send window through its public bridge	A reversible teardown isolates the helper's resource cost without changing code	artifacts/performance-after-helper-dispose-resources.png	6 processes, 1.07 GB, roughly 930 MB reclaimed
2026-08-25T02:43:00Z	verification	Kept the Diagnostics collector and automatically reaped idle Kick renderer state	Collector overhead was negligible while the helper lifecycle dominated memory	artifacts/performance-postfix-idle-resources.png	6 processes, 1023 MB, 0.4% CPU, collector 0.00% CPU / 0.22 ms
