ts	phase	decision	why	evidence	result
2026-09-26T11:56:00Z	frame	Implement the accepted desktop-only Start candidate before switching defaults.	The adopted plan requires behavior and packaging proof before promotion.	https://github.com/TheDarkSkyXD/StreamFusion/issues/240#issuecomment-5845969433	in progress
2026-09-26T11:56:00Z	baseline	Capture the existing renderer before changing dependencies.	A rollback and parity comparison need a known source revision.	.scratch/start-migration/baseline-lint.txt; .scratch/start-migration/baseline-typecheck.txt; .scratch/start-migration/baseline-smoke.txt	lint, types and Electron smoke passed
2026-09-26T11:56:00Z	providers	Inject navigation into the existing provider tree and reuse its loading wrapper.	Keep notification subscriptions above the language readiness gate without importing a second router.	.scratch/start-migration/runtime-typecheck.txt; .scratch/start-migration/runtime-tests.txt	types and 14 targeted tests passed
2026-09-26T11:56:00Z	baseline	Reject the isolated rollback package as unverified.	The builder completed but omitted native dependencies outside its workspace resolution path.	.scratch/start-migration/baseline-package-frozen.txt	package needs rebuilding from desktop workspace
2026-09-26T12:02:51Z	dependencies	Pin Start 1.168.56 and Router 1.170.38.	Prototype pins are newer than the repository seven-day npm release delay.	.scratch/start-migration/install-start.txt; .npmrc	installed without overriding policy
2026-09-26T12:02:51Z	baseline	Keep the workspace-built rollback package and classify the soak as smoke evidence.	Native dependencies are present; packaging overlapped the final soak samples.	.scratch/start-migration/baseline-package-sha256.json; .scratch/start-migration/baseline-soak.json	package retained; clean performance comparison still required
2026-09-26T12:07:08Z	build	Replace experimental isolatedEntries with separate preload builds.	Both progress reporting and renderStart call unavailable terminal methods on redirected stdout.	node_modules/electron-vite/dist/chunks/lib-q6ns0vZr.js:1035; apps/desktop/slot.preload.config.ts	verifying separate bundles
2026-09-26T12:39:08Z	routing	Disable automatic Start component splitting and gate generated routes.	Splitting hid existing nested component preloads; standalone generation differed from the build footer.	.scratch/start-migration/route-after-build.txt; .scratch/start-migration/final-preloads.json	all 14 candidate route components retain preload functions
2026-09-26T12:39:08Z	verification	Retain the opt-in candidate after static and local-file checks.	The accepted plan requires additional runtime and platform gates before default adoption.	.scratch/start-migration/candidate-tests.txt; .scratch/start-migration/final-targeted-tests.txt; .scratch/start-migration/final-typecheck.txt; .scratch/start-migration/final-lint.txt	7766 full-suite tests and 35 focused tests passed; types and lint passed
2026-09-26T12:39:08Z	development	Add primary preload watch and retain separate slot watching.	The first development run did not rebuild the primary preload without --watch.	.scratch/start-migration/hmr-before.json; .scratch/start-migration/hmr-after.json; .scratch/start-migration/preload-final-after.json; .scratch/start-migration/slot-after.json	React and both preload reloads passed; normal close stopped server and removed owned output
2026-09-26T12:39:08Z	development	Redirect browser.html to the root route with a development query marker.	Serving it as a separate Start route produced Not Found.	CUA relay tab 973916907; .scratch/verify-streamfusion/evidence/start-development-final/launch.log	settings navigation and reload passed; Dark Reader attribute warning recorded
2026-09-26T12:39:08Z	review	Add the existing router decorator to both chat shell stories.	Active-context navigation requires a router in Storybook too.	apps/desktop/src/frontend/features/chat/tests/stories/chat/kick/KickChat.stories.tsx; apps/desktop/src/frontend/features/chat/tests/stories/chat/twitch/TwitchChat.stories.tsx	scoped types and lint passed
