ts	phase	decision	why	evidence	result
2026-09-06T17:07:14Z	baseline	Use an isolated copy of the development profile	Exercise real follows and authenticated reads without changing the source profile	.scratch/verify-streamfusion/evidence/perf-audit-20260906/database.json	SQLite healthy; 743 local follows
2026-09-06T17:10:54Z	resources	Reuse locale date formatters for resource timeline labels	CPU profile attributes 14138 self samples to repeated date formatting	.scratch/performance-audit/resources-before.trace.json	Baseline 166.6ms frame p95 over 20 seconds
2026-09-06T17:12:00Z	discovery	Render a bounded window of followed channels	Channels mounted roughly 6000 nodes for 672 follows	.scratch/verify-streamfusion/evidence/perf-audit-20260906/following-channels/report.json	Baseline 1251ms renderer task time in action sample
2026-09-06T17:14:45Z	verification	Discard first post-fix profiling comparison	First attempt targeted Playback; next attempt was interrupted by shared-component hot reload	.scratch/verify-streamfusion/evidence/perf-audit-20260906/sweep-state/screen.png	INCONCLUSIVE; require stable renderer rerun
2026-09-06T17:15:00Z	images	Bound Kick retries and use the shared fallback in History	Permanent image failures kept retrying and History had no error fallback	apps/desktop/tests/components/ui/proxied-image.test.tsx; apps/desktop/tests/pages/History.test.tsx	2 expected failures before fix; 31 tests passed after
2026-09-06T17:50:09Z	review	Fix virtual row height and keyboard range extension	Reviewer reproduced height drift and missing off-window Tab targets	apps/desktop/tests/pages/Following.test.tsx; .scratch/verify-streamfusion/evidence/perf-final-20260906/channels-keyboard/report.json	Fixed; 672-channel tail, filter reset, and native Tab traversal verified
2026-09-06T17:50:09Z	diagnostics	Configure only the current view after its lease exists	Delayed open and stale replies could leave the wrong tab content	apps/desktop/tests/hooks/use-diagnostics-workspace.test.tsx; .scratch/performance-audit/provider-findings.md	Base source 2 failures; restored fix 3 passes
2026-09-06T17:50:09Z	images	Use shared image recovery for autocomplete and badge tooltips	Raw image tags exposed failed-provider artwork without fallback	apps/desktop/tests/components/search/UnifiedSearchInput.test.tsx; apps/desktop/tests/components/chat/ChatBadge.test.tsx	2 expected failures before fix; 38 focused tests passed
2026-09-06T17:50:09Z	resources	Accept clean final Resources comparison	Both 20-second traces used a visible stable renderer with the same profiler options	.scratch/performance-audit/resources-before.json; .scratch/performance-audit/resources-final.json	Frame p95 166.6ms to16.8ms; final budgets passed
2026-09-06T17:50:09Z	verification	Retain MultiView frame-budget failure as open	Visible final run exceeded20ms without a confirmed app-specific cause	.scratch/performance-audit/multiview-visible-final.json	Frame p95 33.4ms; CPU and memory budgets passed; zero exceptions
2026-09-06T17:50:09Z	verification	Reject hidden-window MultiView frame measurements	RAF was throttled by window visibility	.scratch/performance-audit/multiview-final.json; .scratch/performance-audit/multiview-profile-final.json	INCONCLUSIVE frame timing; not treated as an application regression
2026-09-06T17:50:09Z	providers	Separate expired Twitch session and upstream errors from successful playback	Token refresh failed and some reads timed out while VOD and two-platform playback succeeded	.scratch/performance-audit/provider-findings.md	Authenticated Twitch moderation and chat replay not verified; original profile untouched
2026-09-06T17:50:09Z	tests	Replace stale notification bridge fixture with shared mock	Only failing full-suite test omitted diagnostics bridge used by App	apps/desktop/tests/App.live-notification-router.integration.test.tsx; .scratch/performance-audit/desktop-tests-final.log	Full rerun 623 files and7520 tests passed
2026-09-06T17:50:09Z	review	Discard transient Doctor-only grid edits made before authorization	Source writes happened during read-only review; original implementation was restored before further work	.scratch/verify-streamfusion/evidence/perf-final-20260906/launch.log	17:46HMR did not affect17:36Resources profile; further grid correction authorized after cleanup
2026-09-06T17:50:09Z	cleanup	Remove disposable Electron runs and preserve evidence	Finish verification without leaving account copies or streams running	.scratch/verify-streamfusion/evidence/perf-audit-20260906; .scratch/verify-streamfusion/evidence/perf-final-20260906	Both cleanup commands reported cleaned:true and evidenceExists:true
2026-09-06T17:57:12Z	review	Correct earlier review wording	Reviewer identified row-height drift from code; did not reproduce it in the app	.scratch/performance-audit/decisions.tsv	Supersedes row wording: identified, not reproduced
2026-09-06T17:57:12Z	grid	Use keyed reset and viewport subscription in final grid	Remove render-time ref mutation while preserving measured range and focus behavior	apps/desktop/src/frontend/pages/Following/following-channel-grid.tsx; .scratch/performance-audit/following-categories-final-green.log	Base 3 failures/48 passes; final51 passes; checked Electron tail/filter recheck passed
2026-09-06T17:57:12Z	review	Retain documented Doctor range-remeasurement warning	Independent reviewer found no corresponding correctness regression	.scratch/performance-audit/react-doctor-isolated-baseline-files.log; .scratch/performance-audit/react-doctor-isolated-comparable-final-files.log	Comparable scope92 to91; one additional heuristic warning, no errors
2026-09-06T17:57:12Z	scope	Add Twitch-style live moderation workspace after performance unit	User requested mod log/retention redesign and confirmed video+chat	T3 tab_4 https://www.twitch.tv/moderator/tenhq	Reference inspected at1440x900; implement next as separate unit
2026-09-06T20:52:31Z	continuation	Keep canonical player DOM order and apply CSS visual order	Native reorders restarted moved player effects; stable hosts preserve playback	perf-cont-20260906/multi-canonical-*	Three providers/slots retained video identity through drag and focus
2026-09-06T20:52:31Z	emotes	Share one tooltip and preload three rows	CPU profiles and mounted-item counts showed avoidable per-item work	perf-cont-20260906/emote-after-*	BTTV frame p95 249.9 to49.9ms; scroll/filter16.8ms
2026-09-06T20:52:31Z	verification	Report remaining process memory and cadence separately	Functional continuity does not prove sustained frame/memory budgets	multi-cont-final.json;multi-cont-fresh-renderer.json	Freshrenderer17ms p95; memorybudgetstillfails; noauthwritesclaimed
